NO3_4mM_1	NO3_4mM_2	NO3_12mM_1	NO3_12mM_2
HaLaN_01508	0	0	12.198757	21.0826
HaLaN_01509	0	0	47.873707	53.166973
HaLaN_01511	290.385071	383.709106	283.916229	329.563507
HaLaN_01512	0	0	22.607952	26.231588
HaLaN_01515	119.934822	152.48468	99.32563	89.137215
HaLaN_01517	0	0	37.100788	44.18399
HaLaN_01525	0	0	32.034573	51.224575
HaLaN_01526	0	0	46.386875	65.442436
HaLaN_01528	0	0	11.063177	11.199427
HaLaN_01531	0	0	24.761793	24.870346
HaLaN_01532	0	0	48.320766	67.238525
HaLaN_01534	3067.651123	3377.898682	2904.151123	3008.200195
HaLaN_01535	0	0	37.000378	41.41605
HaLaN_01549	0	0	383.290344	399.332367
HaLaN_01550	0	0	54.268646	39.954742
HaLaN_01551	0	0	17.496593	13.721154
HaLaN_01554	202.902679	136.970322	189.22876	186.350525
HaLaN_01555	109.952225	320.744843	128.879532	120.197372
HaLaN_01560	71.513329	83.570984	38.561535	47.415375
HaLaN_01561	0	0	8.838515	18.453957
HaLaN_01567	264.197601	208.077499	274.33313	256.217468
HaLaN_01571	0	0	23.577293	35.028423
HaLaN_01573	31.415161	14.353356	35.190269	24.455034
HaLaN_01578	0	0	1.013578	2.333282
HaLaN_01583	57.724213	60.736206	58.050667	58.070396
HaLaN_01588	547.817749	401.317474	474.110779	434.954407
HaLaN_01592	0	0	1.092983	2.91133
HaLaN_01605	0	0	87.723701	118.437462
HaLaN_01606	0	0	18.011591	14.740236
HaLaN_01614	46.481243	53.202209	81.276649	65.412926
HaLaN_01615	0	0	95.034988	115.38546
HaLaN_01617	0	0	24.66795	41.209286
HaLaN_01639	30.89805	34.646553	38.336979	52.896011
HaLaN_01643	0	0	9.137893	7.865938
HaLaN_01644	0	0	37.706718	17.788687
HaLaN_01647	0	0	1.221267	1.974562
HaLaN_01649	727.024475	798.71698	76.419312	7.000646
HaLaN_01650	0	0	66.889763	77.035881
HaLaN_01652	0	0	19.689846	20.208073
HaLaN_01659	0	0	18.406679	24.290562
HaLaN_01660	59.761745	51.014442	69.489563	68.037521
HaLaN_01666	0	0	6.308105	5.021102
HaLaN_01670	0	0	45.405876	36.315296
HaLaN_01673	0	0	83.903175	62.663216
HaLaN_01674	0	0	7.403309	8.523105
HaLaN_01679	0	0	2.570743	1.7847
HaLaN_01682	0	0	12.860392	13.309096
HaLaN_01686	785.871094	591.241089	465.5159	524.518738
HaLaN_01687	0	0	20.68401	47.397781
HaLaN_01691	0	0	6.615276	9.93195
