Gene	NO3_2mM_1	NO3_2mM_2	NO3_15mM_1	NO3_15mM_2
HaLaN_01213	376.281128	335.60675	336.803894	353.569061
HaLaN_01216	0	0	24.194084	17.961441
HaLaN_01217	0	0	13.805683	17.338238
HaLaN_01223	0	0	0.359623	0
HaLaN_01225	0	0	66.126907	48.226543
HaLaN_01226	0	0	29.33037	21.351645
HaLaN_01228	0	0	27.175264	22.62818
HaLaN_01229	378.40625	182.956909	74.514519	115.342201
HaLaN_01233	0	0	18.151318	0
HaLaN_01235	0	0	0	9.37834
HaLaN_01239	0	0	20.328337	11.925151
HaLaN_01240	0	0	8.550149	9.473046
HaLaN_01242	0	0	8.480957	4.43725
HaLaN_01244	0	0	8.262543	0
HaLaN_01247	0	0	17.348709	10.973896
HaLaN_01248	138.869781	205.328064	90.757401	63.81094
HaLaN_01249	405.7565	309.215179	186.639511	188.355743
HaLaN_01250	0	0	2.255727	0
HaLaN_01255	384.783325	529.607239	499.055542	672.743958
HaLaN_01257	0	0	66.411316	60.491817
HaLaN_01260	0	0	24.102467	0
HaLaN_01264	0	0	15.033842	11.816268
HaLaN_01267	0	0	0	0.748664
HaLaN_01268	0	0	0	0.468038
HaLaN_01270	0	0	138.845963	115.390762
HaLaN_01271	0	0	451.774292	460.083221
HaLaN_01274	0	36.993732	12.577197	13.452173
HaLaN_01275	0	0	47.215637	51.412128
HaLaN_01276	408.790253	303.560577	251.713898	215.024521
HaLaN_01278	0	0	58.911236	66.902512
HaLaN_01279	0	0	97.664627	100.363625
HaLaN_01280	0	0	79.476082	88.246246
HaLaN_01281	0	0	78.818176	60.033691
HaLaN_01283	0	0	55.764156	70.91626
HaLaN_01284	0	0	80.864929	84.605095
HaLaN_01286	34.427483	0	29.631971	41.801804
